Station Code,Distance from BF,Services from/to BF,Disruptions on path to BF
AC,236,0.0,381
AH,201,0.0,114
AHP,200,0.0,118
AHPR,198,0.0,117
AHZ,209,0.0,371
AKL,259,0.0,392
AKM,91,0.0,35
ALM,206,0.0,35
ALMB,200,0.0,35
ALMM,207,0.0,166
ALMO,198,0.0,35
ALMP,204,0.0,40
AMF,191,0.0,35
AMFS,188,0.0,35
AML,170,0.0,56
AMPO,209,0.0,167
AMR,275,0.0,320
AMRI,172,0.0,126
AMRN,276,0.0,395
ANA,305,0.0,406
APD,171,0.0,35
APDM,172,0.0,70
APDO,168,0.0,111
APG,31,0.0,12
APN,247,0.0,285
ARN,390,0.0,545
ASA,233,0.0,169
ASB,233,0.0,169
ASD,236,0.0,35
ASDL,243,0.0,293
ASDM,232,0.0,275
ASDZ,235,0.0,166
ASHD,234,0.0,183
ASN,47,0.0,16
ASS,240,0.0,293
ASSP,231,0.0,174
ATN,229,0.0,125
AVAT,185,0.0,41
BD,303,0.0,434
BDE,345,0.0,572
BDG,239,0.0,276
BDM,12,0.0,1
BDPB,308,0.0,757
BET,282,0.0,348
BF,0,0.0,0
BGN,338,0.0,544
BHDV,270,0.0,412
BHV,203,0.0,279
BK,338,0.0,573
BKF,294,0.0,378
BKG,293,0.0,374
BKL,224,0.0,348
BL,63,0.0,69
BLL,258,0.0,330
BMN,179,0.0,111
BMR,245,0.0,406
BN,179,0.0,126
BNC,210,0.0,276
BNK,220,0.0,348
BNN,207,0.0,275
BNZ,212,0.0,292
BP,49,0.0,16
BR,280,0.0,435
BRD,279,0.0,509
BRN,200,0.0,275
BSD,245,0.0,391
BSK,253,0.0,366
BSKS,254,0.0,389
BSMZ,212,0.0,36
BTL,272,0.0,421
BV,265,0.0,314
BZL,370,0.0,575
CAS,263,0.0,317
CK,235,0.0,403
CL,230,0.0,376
CO,180,0.0,55
CPS,257,0.0,433
CVM,355,0.0,590
DA,167,0.0,45
DB,224,0.0,348
DDN,189,0.0,145
DDR,287,0.0,423
DDRS,284,0.0,423
DDZD,288,0.0,540
DEI,77,0.0,33
DID,218,0.0,123
DL,137,0.0,35
DLD,200,0.0,275
DLN,184,0.0,69
DMN,229,0.0,173
DMNZ,229,0.0,36
DN,308,0.0,487
DR,185,0.0,111
DRH,263,0.0,331
DRON,157,0.0,35
DRP,84,0.0,47
DT,281,0.0967741935483871,29
DTC,229,0.0,143
DTCH,227,0.0,143
DTCP,281,0.0,503
DV,156,0.0,45
DVC,160,0.0,111
DVD,231,0.0,166
DVN,208,0.0,120
DVNK,265,0.0,383
DWE,56,0.0,39
DZ,35,0.0,30
DZW,34,0.0,30
EC,318,0.0,570
ED,218,0.0,371
EDC,220,0.0,393
EDN,360,0.0,574
EEM,26,4.709677419354839,14
EGH,354,0.0,589
EGHM,355,0.0,589
EHS,291,0.0,424
EHV,292,0.0,424
EKZ,297,0.0,386
EML,168,0.0,38
EMN,200,0.0,70
EMNZ,196,0.0,69
ES,192,0.0,145
ESK,188,0.0,145
EST,212,0.0,371
ETN,314,0.0,757
FN,90,0.0,33
FWD,59,0.0,16
GBG,173,0.0,55
GD,244,0.0,348
GDG,241,0.0,348
GDM,238,0.0,348
GDR,234,0.0,160
GERP,21,0.0,16
GK,38,0.0,16
GLN,334,0.0,572
GN,19,34.03225806451613,1
GND,273,0.0,412
GNN,15,34.0,1
GO,199,0.0,178
GP,298,0.0,486
GR,264,0.0,410
GS,375,0.0,545
GV,273,0.0967741935483871,29
GVC,272,0.0967741935483871,0
GVM,273,0.0,468
GVMW,274,0.0967741935483871,1
GW,86,0.0,33
GZ,293,0.0,436
HAD,259,0.0,314
HB,345,0.0,603
HBZM,276,0.0,422
HD,164,0.0,35
HDB,167,0.0,42
HDE,143,0.0,35
HDG,63,0.0,16
HDR,317,0.0,415
HDRZ,316,0.0,415
HFD,251,0.0,240
HGL,184,0.0,126
HGLG,186,0.0,145
HGLO,186,0.0,145
HGV,77,0.0,16
HGZ,34,0.0,39
HIL,266,0.0,314
HK,262,0.0,353
HKS,289,0.0,370
HLG,99,0.0,34
HLGH,100,0.0,38
HLM,255,0.0,293
HLMS,254,0.0,314
HLO,270,0.0,320
HM,305,0.0,486
HMBH,306,0.0,490
HMBV,302,0.0,486
HMH,304,0.0,486
HMN,226,0.0,385
HN,279,0.0,314
HNK,280,0.0,370
HNO,137,0.0,35
HNP,115,0.0,36
HON,175,0.0,111
HOR,213,0.0,36
HR,102,0.0,33
HRL,349,0.0,572
HRLW,351,0.0,589
HRN,25,0.0,16
HRT,290,0.0,487
HT,260,0.0,348
HTN,220,0.0,348
HTNC,221,0.0,376
HTO,261,0.0,421
HVL,197,0.0,275
HVS,207,0.0,35
HVSM,208,0.0,36
HVSP,208,0.0,36
HWD,282,0.0,396
HWZB,247,0.0,314
HZE,303,0.0,492
IJT,98,0.0,34
KBD,357,0.0,545
KBK,180,0.0,71
KLP,225,0.0,393
KMA,254,0.0,327
KMR,357,0.0,589
KMW,120,0.0,41
KPN,140,0.0,35
KPNZ,140,0.0,35
KRD,357,0.0,600
KRG,364,0.0,545
KTR,233,0.0,385
KW,31,0.0,37
KZ,248,0.0,317
LAA,273,0.0,29
LC,189,0.0,111
LDL,261,0.0,366
LDM,252,0.0,392
LEDN,262,0.0,373
LG,352,0.0,589
LLS,182,0.0,21
LLZM,257,0.0,433
LP,23,0.0,12
LTN,217,0.0,292
LTV,207,0.0,113
LUT,334,0.0,572
LW,73,0.0,16
LWC,70,0.0,26
MAS,219,0.0,348
MDB,394,0.0,572
MES,357,0.0,574
MG,83,0.0,33
MMLH,230,0.0,392
MP,97,0.0,16
MRB,159,0.0,42
MRN,232,0.0,380
MT,351,0.0,572
MTH,32,0.0,39
MTN,354,0.0,574
MTR,352,0.0,574
MZ,313,0.0,497
NDB,213,0.0,36
NH,342,0.0,603
NKK,180,0.0,38
NM,220,0.0,371
NMD,225,0.0,392
NMGO,223,0.0,392
NMH,223,0.0,392
NML,219,0.0,385
NS,152,0.0,35
NSCH,67,0.0,46
NVD,157,0.0,44
NVP,256,0.0,368
NWK,253,0.0,433
O,244,0.0,392
OBD,288,0.0,314
ODB,318,0.0,545
ODZ,195,0.0,145
OMN,148,0.0,42
OP,229,0.0,385
OST,146,0.0,35
OT,281,0.0,464
OTB,205,0.0,371
OVN,257,0.0,330
OW,245,0.0,413
PMO,261,0.0,293
PMR,260,0.0,314
PMW,259,0.0,317
PT,173,0.0,35
RAI,234,0.0,169
RAT,143,0.0,35
RB,354,0.0,545
RD,19,33.935483870967744,1
RH,191,0.0,114
RHN,255,0.0,383
RL,194,0.0,113
RLB,275,0.0,503
RM,305,0.0,521
RS,256,0.0,413
RSD,325,0.0,540
RSN,173,0.0,56
RSW,276,0.0967741935483871,29
RTA,258,0.0,433
RTB,269,0.0,503
RTD,268,0.0,433
RTN,263,0.0,435
RTST,273,0.0,503
RTZ,272,0.0,503
RV,294,0.0,507
RVS,236,0.0,371
SBK,337,0.0,602
SD,204,0.0,289
SDA,50,0.0,37
SDM,272,0.0,503
SDT,277,0.0,422
SDTB,280,0.0,423
SGL,361,0.0,588
SGN,296,0.0,406
SHL,246,0.0,240
SK,95,0.0,33
SKND,94,0.0,33
SM,300,0.0,521
SN,339,0.0,603
SOG,359,0.0,589
SPTN,262,0.0,330
SPTZ,260,0.0,330
SRN,323,0.0,599
SSH,267,0.0,368
ST,205,0.0,289
STD,330,0.0,570
STM,19,0.0,12
STV,124,0.0,41
STZ,206,0.0,279
SWD,8,34.03225806451613,0
SWK,111,0.0,66
TB,282,0.0,421
TBG,235,0.0,160
TBR,287,0.0,434
TBU,283,0.0,434
TG,287,0.0,488
TL,245,0.0,388
TPSW,247,0.0,388
TWL,161,0.0,111
UHM,16,33.935483870967744,1
UHZ,13,33.935483870967744,1
UST,8,33.935483870967744,0
UT,212,0.0,275
UTG,259,0.0,352
UTLN,216,0.0,348
UTLR,215,0.0,348
UTO,209,0.0,275
UTT,217,0.0,348
UTVR,213,0.0,348
UTZL,214,0.0,348
VB,269,0.0,433
VD,184,0.0,111
VDL,353,0.0,589
VDM,50,0.0,44
VEM,176,0.0,111
VG,264,0.0,421
VH,270,0.0,383
VHP,165,0.0,45
VK,362,0.0,589
VL,282,0.0,487
VLB,252,0.0,434
VNDC,247,0.0,382
VNDW,246,0.0,382
VP,195,0.0,117
VRY,259,0.0,435
VS,400,0.0,572
VSS,399,0.0,545
VST,267,0.0,468
VSV,238,0.0,144
VTN,219,0.0,353
VZ,172,0.0,46
WAD,252,0.0,433
WADN,253,0.0,433
WADT,251,0.0,433
WC,229,0.0,371
WD,228,0.0,275
WDN,165,0.0,56
WF,209,0.0,371
WFM,5,33.935483870967744,0
WH,139,0.0,35
WK,111,0.0,36
WL,224,0.0,143
WM,252,0.0,317
WP,222,0.0,167
WR,77,0.0,55
WS,55,0.0,46
WSM,3,34.0,0
WT,320,0.0,486
WTV,204,0.0,120
WV,113,0.0,33
WW,217,0.0,125
WWW,216,0.0,125
WZ,134,0.0,35
YPB,265,0.0,351
ZA,223,0.0,385
ZB,42,0.0,40
ZBM,247,0.0,391
ZD,246,0.0,314
ZDK,249,0.0,317
ZH,31,0.0,16
ZL,125,0.0,21
ZLSH,130,0.0,35
ZLW,302,0.0,540
ZP,172,0.0,111
ZTM,260,0.0,348
ZTMO,259,0.0,433
ZV,213,0.0,123
ZVB,310,0.0,545
ZVT,263,0.0,330
ZWD,286,0.0,608
ZZS,249,0.0,317
