Station Code,Distance from RTN,Services from/to RTN,Disruptions on path to RTN
AC,66,36.483870967741936,129
AH,109,0.0,160
AHP,110,0.0,417
AHPR,112,0.0,419
AHZ,117,0.0,417
AKL,53,0.0,202
AKM,215,0.0,464
ALM,100,0.0,173
ALMB,106,0.0,304
ALMM,99,0.0,172
ALMO,108,0.0,304
ALMP,102,0.0,304
AMF,72,0.0,160
AMFS,75,0.0,400
AML,169,0.0,466
AMPO,97,0.0,172
AMR,107,2.838709677419355,315
AMRI,171,0.0,536
AMRN,108,0.0,390
ANA,137,0.0,401
APD,115,0.0,400
APDM,116,0.0,435
APDO,118,0.0,435
APG,278,0.0,494
APN,37,0.0,110
ARN,128,0.0,106
ASA,84,36.483870967741936,160
ASB,80,36.483870967741936,160
ASD,90,36.483870967741936,160
ASDL,84,0.0,120
ASDM,86,36.483870967741936,197
ASDZ,83,0.0,120
ASHD,81,36.483870967741936,174
ASN,216,0.0,414
ASS,87,36.193548387096776,120
ASSP,87,0.0,211
ATN,161,0.0,454
AVAT,78,0.0,406
BD,55,0.0,70
BDE,205,0.0,507
BDG,45,0.0,191
BDM,259,0.0,483
BDPB,50,0.0,192
BET,103,0.0,449
BF,263,0.0,483
BGN,76,0.0,75
BHDV,42,0.0,200
BHV,60,0.0,160
BK,198,0.0,507
BKF,141,0.0,205
BKG,140,0.0,201
BKL,54,36.483870967741936,96
BL,200,0.0,419
BLL,75,0.0,273
BMN,131,0.0,420
BMR,152,0.0,316
BN,178,0.0,536
BNC,91,0.0,401
BNK,59,0.0,160
BNN,88,0.0,400
BNZ,93,0.0,417
BP,257,0.0,431
BR,163,0.0,487
BRD,16,0.0,85
BRN,75,0.0,184
BSD,67,0.0,220
BSK,31,0.0,87
BSKS,30,0.0,87
BSMZ,74,0.0,161
BTL,93,0.0,406
BV,85,0.0,293
BZL,108,0.0,106
CAS,95,2.838709677419355,312
CK,142,0.0,313
CL,69,0.0,188
CO,193,0.0,434
CPS,6,38.38709677419355,2
CVM,215,0.0,524
DA,180,0.0,536
DB,63,0.0,160
DDN,173,0.0,450
DDR,25,0.0,70
DDRS,28,0.0,187
DDZD,26,0.0,187
DEI,237,0.0,431
DID,128,0.0,417
DL,150,0.0,414
DLD,63,0.0,180
DLN,197,0.0,448
DMN,89,0.0,211
DMNZ,84,0.0,163
DN,135,0.0,459
DR,125,0.0,417
DRH,80,0.0,292
DRON,149,0.0,318
DRP,244,0.0,445
DT,19,0.0,70
DTC,139,0.0,437
DTCH,137,0.0,437
DTCP,18,0.0,70
DV,130,0.0,400
DVC,134,0.0,466
DVD,82,36.483870967741936,160
DVN,118,0.0,419
DVNK,40,0.0,189
DWE,250,0.0,431
DZ,282,0.0,512
DZW,281,0.0,512
EC,178,0.0,504
ED,92,0.0,160
EDC,94,0.0,182
EDN,220,0.0,508
EEM,289,0.0,511
EGH,214,0.0,523
EGHM,215,0.0,523
EHS,112,0.0,525
EHV,113,0.0,393
EKZ,144,0.0,213
EML,95,0.0,403
EMN,213,0.0,449
EMNZ,209,0.0,448
ES,186,0.0,502
ESK,182,0.0,502
EST,119,0.0,267
ETN,66,0.0,393
FN,250,0.0,431
FWD,247,0.0,431
GBG,186,0.0,434
GD,19,38.38709677419355,2
GDG,22,38.38709677419355,87
GDM,74,0.0,221
GDR,144,0.0,454
GERP,242,0.0,467
GK,263,0.0,482
GLN,194,0.0,506
GN,244,0.0,467
GND,39,0.0,190
GNN,248,0.0,482
GO,163,0.0,442
GP,119,0.0,455
GR,48,0.0,200
GS,113,0.0,106
GV,27,0.0,171
GVC,28,0.0,186
GVM,32,0.0,186
GVMW,26,0.0,171
GW,220,0.0,421
GZ,65,0.0,393
HAD,68,0.0,196
HB,205,0.0,537
HBZM,36,0.0,190
HD,99,0.0,403
HDB,180,0.0,421
HDE,120,0.0,400
HDG,243,0.0,431
HDR,149,0.0,410
HDRZ,148,0.0,410
HFD,67,0.0,196
HGL,178,0.0,483
HGLG,176,0.0,483
HGLO,180,0.0,502
HGV,186,0.0,414
HGZ,255,0.0,490
HIL,61,0.0,196
HK,88,0.0,311
HKS,136,0.0,197
HLG,259,0.0,432
HLGH,260,0.0,436
HLM,72,0.0,236
HLMS,73,0.0,273
HLO,102,2.838709677419355,315
HM,126,0.0,455
HMBH,127,0.0,459
HMBV,123,0.0,455
HMH,125,0.0,455
HMN,105,0.0,267
HN,126,0.0,141
HNK,127,0.0,197
HNO,150,0.0,414
HNP,275,0.0,434
HON,149,0.0,466
HOR,63,0.0,160
HR,204,0.0,414
HRL,209,0.0,506
HRLW,211,0.0,523
HRN,238,0.0,467
HRT,153,0.0,487
HT,96,0.0,264
HTN,59,0.0,160
HTNC,60,0.0,188
HTO,97,0.0,337
HVL,78,0.0,400
HVS,69,0.0,160
HVSM,70,0.0,161
HVSP,68,0.0,160
HWD,114,0.0,391
HWZB,80,0.0,273
HZE,124,0.0,461
IJT,258,0.0,432
KBD,95,0.0,106
KBK,124,0.0,436
KLP,85,0.0,160
KMA,96,36.193548387096776,312
KMR,217,0.0,523
KMW,280,0.0,439
KPN,153,0.0,414
KPNZ,153,0.0,414
KRD,217,0.0,534
KRG,102,0.0,106
KTR,98,0.0,264
KW,252,0.0,488
KZ,95,36.193548387096776,144
LAA,29,0.0,186
LC,150,0.0,435
LDL,44,0.0,196
LDM,60,0.0,220
LEDN,43,0.0,186
LG,212,0.0,523
LLS,124,0.0,304
LLZM,32,0.0,87
LP,270,0.0,494
LTN,98,0.0,417
LTV,168,0.0,437
LUT,194,0.0,506
LW,233,0.0,414
LWC,236,0.0,431
MAS,58,0.0,160
MDB,132,0.0,106
MES,217,0.0,508
MG,243,0.0,431
MMLH,137,0.0,302
MP,166,0.0,414
MRB,172,0.0,421
MRN,71,0.0,192
MT,211,0.0,506
MTH,253,0.0,490
MTN,214,0.0,508
MTR,212,0.0,508
MZ,134,0.0,466
NDB,75,0.0,161
NH,202,0.0,537
NKK,83,0.0,400
NM,127,0.0,281
NMD,132,0.0,302
NMGO,130,0.0,302
NMH,130,0.0,302
NML,126,0.0,281
NS,111,0.0,400
NSCH,288,0.0,497
NVD,170,0.0,414
NVP,62,0.0,196
NWK,10,38.38709677419355,58
O,115,0.0,337
OBD,120,0.0,401
ODB,56,0.0,192
ODZ,189,0.0,502
OMN,161,0.0,421
OP,102,0.0,267
OST,140,0.0,466
OT,84,0.0,406
OTB,105,0.0,182
OVN,74,0.0,273
OW,114,0.0,340
PMO,108,0.0,142
PMR,107,0.0,141
PMW,106,0.0,144
PT,90,0.0,403
RAI,84,0.0,194
RAT,156,0.0,414
RB,92,0.0,106
RD,282,0.0,498
RH,119,0.0,420
RHN,94,0.0,195
RL,155,0.0,437
RLB,12,0.0,79
RM,165,0.0,455
RS,103,0.0,340
RSD,63,0.0,70
RSN,156,0.0,466
RSW,24,0.0,171
RTA,5,38.38709677419355,0
RTB,6,0.0,70
RTD,5,38.516129032258064,0
RTN,0,0.0,0
RTST,10,0.0,79
RTZ,9,0.0,79
RV,176,0.0,504
RVS,123,0.0,358
SBK,197,0.0,536
SD,71,0.0,184
SDA,271,0.0,488
SDM,9,0.0,70
SDT,35,0.0,189
SDTB,32,0.0,189
SGL,221,0.0,522
SGN,128,0.0,401
SHL,72,0.0,70
SK,255,0.0,431
SKND,254,0.0,431
SM,170,0.0,504
SN,199,0.0,537
SOG,219,0.0,523
SPTN,79,0.0,291
SPTZ,77,0.0,291
SRN,183,0.0,533
SSH,51,0.0,196
ST,70,0.0,184
STD,190,0.0,504
STM,266,0.0,494
STV,284,0.0,439
STZ,69,0.0,184
SWD,255,0.0,482
SWK,180,0.0,464
TB,76,0.0,393
TBG,145,0.0,454
TBR,71,0.0,412
TBU,75,0.0,414
TG,170,0.0,540
TL,86,0.0,264
TPSW,84,0.0,264
TWL,125,0.0,435
UHM,279,0.0,498
UHZ,276,0.0,498
UST,271,0.0,497
UT,51,1.903225806451613,87
UTG,91,36.193548387096776,311
UTLN,55,0.0,160
UTLR,48,1.870967741935484,110
UTO,54,0.0,160
UTT,46,1.870967741935484,105
UTVR,52,0.0,160
UTZL,53,0.0,160
VB,31,0.0,215
VD,145,0.0,435
VDL,213,0.0,523
VDM,271,0.0,495
VEM,129,0.0,437
VG,100,0.0,337
VH,51,0.0,196
VHP,178,0.0,424
VK,222,0.0,523
VL,165,0.0,539
VLB,159,0.0,344
VNDC,86,0.0,194
VNDW,85,0.0,194
VP,115,0.0,420
VRY,166,0.0,345
VS,138,0.0,108
VSS,137,0.0,108
VST,38,0.0,189
VSV,152,0.0,454
VTN,44,1.870967741935484,96
VZ,175,0.0,536
WAD,27,0.0,87
WADN,28,0.0,87
WADT,26,0.0,87
WC,130,0.0,361
WD,35,38.38709677419355,95
WDN,164,0.0,473
WF,101,0.0,182
WFM,268,0.0,497
WH,147,0.0,476
WK,271,0.0,434
WL,134,0.0,437
WM,98,36.193548387096776,337
WP,84,0.0,172
WR,298,0.0,506
WS,276,0.0,497
WSM,260,0.0,483
WT,141,0.0,455
WTV,114,0.0,419
WV,193,0.0,414
WW,173,0.0,473
WWW,174,0.0,473
WZ,129,0.0,413
YPB,35,0.0,218
ZA,108,0.0,267
ZB,263,0.0,491
ZBM,83,0.0,264
ZD,93,36.193548387096776,141
ZDK,96,0.0,144
ZH,256,0.0,482
ZL,138,0.0,400
ZLSH,143,0.0,414
ZLW,40,0.0,187
ZP,133,0.0,435
ZTM,35,0.0,87
ZTMO,34,0.0,87
ZV,123,0.0,417
ZVB,48,0.0,192
ZVT,80,0.0,274
ZWD,23,0.0,184
ZZS,96,36.193548387096776,144
