Station Code,Distance from UTVR,Services from/to UTVR,Disruptions on path to UTVR
AC,25,5.0,106
AH,57,0.0,98
AHP,58,0.0,355
AHPR,60,0.0,355
AHZ,65,0.0,355
AKL,46,0.0,125
AKM,165,0.0,377
ALM,50,0.0,86
ALMB,56,0.0,217
ALMM,49,0.0,85
ALMO,58,0.0,217
ALMP,52,0.0,217
AMF,22,0.0,73
AMFS,25,0.0,313
AML,119,0.0,379
AMPO,47,0.0,85
AMR,79,0.0,358
AMRI,121,0.0,449
AMRN,80,0.0,433
ANA,109,0.0,444
APD,65,0.0,313
APDM,66,0.0,348
APDO,68,0.0,348
APG,228,0.0,407
APN,36,0.0,83
ARN,177,0.0,278
ASA,34,5.0,73
ASB,30,5.0,73
ASD,40,5.0,73
ASDL,47,0.0,331
ASDM,36,5.0,110
ASDZ,36,0.0,87
ASHD,29,5.0,233
ASN,166,0.0,327
ASS,44,3.3548387096774195,331
ASSP,37,0.0,124
ATN,109,0.0,392
AVAT,28,0.0,319
BD,90,0.0,210
BDE,171,0.0,291
BDG,28,0.0,74
BDM,209,0.0,396
BDPB,95,0.0,533
BET,69,0.0,197
BF,213,0.0,396
BGN,125,0.0,277
BHDV,57,0.0,145
BHV,10,0.0,73
BK,164,0.0,292
BKF,98,0.0,416
BKG,97,0.0,412
BKL,13,40.67741935483871,73
BL,150,0.0,327
BLL,62,0.0,368
BMN,79,0.0,358
BMR,101,0.0,133
BN,128,0.0,449
BNC,41,0.0,314
BNK,7,42.54838709677419,0
BNN,38,0.0,313
BNZ,43,0.0,330
BP,207,0.0,330
BR,129,0.0,272
BRD,68,0.0,234
BRN,25,0.0,97
BSD,32,0.0,124
BSK,42,0.0,164
BSKS,43,0.0,187
BSMZ,24,0.0,74
BTL,59,0.0,197
BV,69,0.0,352
BZL,157,0.0,308
CAS,67,0.0,355
CK,91,0.0,130
CL,17,74.19354838709677,28
CO,143,0.0,347
CPS,46,0.0,158
CVM,181,0.0,309
DA,130,0.0,449
DB,11,42.54838709677419,44
DDN,123,0.0,363
DDR,74,0.0,156
DDRS,71,0.0,156
DDZD,75,0.0,273
DEI,187,0.0,330
DID,76,0.0,355
DL,100,0.0,327
DLD,13,0.0,93
DLN,147,0.0,361
DMN,39,0.0,124
DMNZ,34,0.0,76
DN,101,0.0,244
DR,73,0.0,355
DRH,67,0.0,369
DRON,99,0.0,231
DRP,194,0.0,344
DT,70,0.0,173
DTC,87,0.0,375
DTCH,85,0.0,375
DTCP,70,0.0,228
DV,80,0.0,313
DVC,84,0.0,348
DVD,32,5.0,73
DVN,66,0.0,357
DVNK,54,0.0,181
DWE,200,0.0,330
DZ,232,0.0,425
DZW,231,0.0,425
EC,144,0.0,289
ED,40,0.0,76
EDC,42,0.0,98
EDN,186,0.0,293
EEM,239,0.0,424
EGH,180,0.0,308
EGHM,181,0.0,308
EHS,78,0.0,273
EHV,79,0.0,197
EKZ,101,0.0,424
EML,45,0.0,313
EMN,163,0.0,362
EMNZ,159,0.0,361
ES,136,0.0,415
ESK,132,0.0,415
EST,68,0.0,355
ETN,101,0.0,533
FN,200,0.0,330
FWD,197,0.0,330
GBG,136,0.0,347
GD,33,35.483870967741936,73
GDG,30,35.483870967741936,73
GDM,25,74.19354838709677,81
GDR,92,0.0,392
GERP,192,0.0,380
GK,213,0.0,395
GLN,160,0.0,291
GN,194,0.0,380
GND,60,0.0,145
GNN,198,0.0,395
GO,113,0.0,355
GP,85,0.0,259
GR,51,0.0,143
GS,162,0.0,278
GV,62,0.0,158
GVC,61,34.41935483870968,76
GVM,62,0.0,266
GVMW,63,0.0,173
GW,170,0.0,384
GZ,80,0.0,212
HAD,63,0.0,352
HB,171,0.0,322
HBZM,63,0.0,155
HD,49,0.0,316
HDB,130,0.0,334
HDE,70,0.0,313
HDG,193,0.0,330
HDR,121,0.0,453
HDRZ,120,0.0,453
HFD,52,0.0,161
HGL,128,0.0,396
HGLG,126,0.0,396
HGLO,130,0.0,415
HGV,136,0.0,327
HGZ,205,0.0,403
HIL,69,0.0,181
HK,66,0.0,391
HKS,93,0.0,408
HLG,209,0.0,331
HLGH,210,0.0,335
HLM,59,0.0,331
HLMS,58,0.0,352
HLO,74,0.0,358
HM,92,0.0,240
HMBH,93,0.0,244
HMBV,89,0.0,259
HMH,91,0.0,259
HMN,56,0.0,127
HN,83,0.0,352
HNK,84,0.0,408
HNO,100,0.0,327
HNP,225,0.0,333
HON,99,0.0,348
HOR,13,0.0,73
HR,154,0.0,384
HRL,175,0.0,291
HRLW,177,0.0,308
HRN,188,0.0,380
HRT,119,0.0,272
HT,47,36.935483870967744,124
HTN,7,74.19354838709677,0
HTNC,8,74.19354838709677,28
HTO,48,0.0,197
HVL,28,0.0,313
HVS,19,0.0,73
HVSM,20,0.0,74
HVSP,18,0.0,73
HWD,86,0.0,434
HWZB,51,0.0,352
HZE,90,0.0,265
IJT,208,0.0,331
KBD,144,0.0,278
KBK,74,0.0,349
KLP,33,0.0,76
KMA,58,3.3548387096774195,365
KMR,183,0.0,308
KMW,230,0.0,338
KPN,103,0.0,327
KPNZ,103,0.0,327
KRD,183,0.0,319
KRG,151,0.0,278
KTR,49,0.0,124
KW,202,0.0,401
KZ,52,3.3548387096774195,355
LAA,62,0.0,105
LC,100,0.0,348
LDL,50,0.0,164
LDM,39,0.0,125
LEDN,51,0.0,171
LG,178,0.0,308
LLS,74,0.0,217
LLZM,46,34.41935483870968,158
LP,220,0.0,407
LTN,48,0.0,99
LTV,118,0.0,350
LUT,160,0.0,291
LW,183,0.0,313
LWC,186,0.0,330
MAS,8,40.67741935483871,73
MDB,181,0.0,305
MES,183,0.0,293
MG,193,0.0,330
MMLH,86,0.0,119
MP,116,0.0,327
MRB,122,0.0,334
MRN,19,36.96774193548387,76
MT,177,0.0,291
MTH,203,0.0,403
MTN,180,0.0,293
MTR,178,0.0,293
MZ,100,0.0,270
NDB,25,0.0,74
NH,168,0.0,322
NKK,33,0.0,313
NM,76,0.0,98
NMD,81,0.0,119
NMGO,79,0.0,119
NMH,79,0.0,119
NML,75,0.0,369
NS,61,0.0,313
NSCH,238,0.0,410
NVD,120,0.0,336
NVP,57,0.0,289
NWK,42,0.0,158
O,66,0.0,197
OBD,92,0.0,352
ODB,105,0.0,278
ODZ,139,0.0,415
OMN,111,0.0,334
OP,53,0.0,127
OST,90,0.0,379
OT,68,0.0,240
OTB,53,0.0,98
OVN,61,0.0,368
OW,65,0.0,197
PMO,65,0.0,331
PMR,64,0.0,352
PMW,63,0.0,355
PT,40,0.0,313
RAI,35,0.0,76
RAT,106,0.0,327
RB,141,0.0,278
RD,232,0.0,411
RH,67,0.0,356
RHN,42,36.96774193548387,79
RL,105,0.0,350
RLB,64,0.0,228
RM,131,0.0,240
RS,54,0.0,197
RSD,112,0.0,273
RSN,106,0.0,348
RSW,65,0.0,173
RTA,47,0.0,158
RTB,58,0.0,228
RTD,57,0.0,158
RTN,52,0.0,160
RTST,62,0.0,228
RTZ,61,0.0,228
RV,142,0.0,289
RVS,74,0.0,218
SBK,163,0.0,321
SD,21,0.0,97
SDA,221,0.0,401
SDM,61,0.0,228
SDT,64,0.0,155
SDTB,67,0.0,156
SGL,187,0.0,307
SGN,100,0.0,444
SHL,47,0.0,87
SK,205,0.0,330
SKND,204,0.0,330
SM,136,0.0,289
SN,165,0.0,322
SOG,185,0.0,308
SPTN,66,0.0,368
SPTZ,64,0.0,368
SRN,149,0.0,318
SSH,59,0.0,181
ST,20,0.0,97
STD,156,0.0,289
STM,216,0.0,407
STV,234,0.0,338
STZ,19,0.0,97
SWD,205,0.0,395
SWK,130,0.0,377
TB,69,0.0,197
TBG,93,0.0,392
TBR,74,0.0,210
TBU,70,0.0,210
TG,136,0.0,198
TL,37,37.25806451612903,124
TPSW,35,37.25806451612903,124
TWL,75,0.0,348
UHM,229,0.0,411
UHZ,226,0.0,411
UST,221,0.0,410
UT,1,116.35483870967742,0
UTG,63,3.3548387096774195,390
UTLN,3,74.16129032258064,0
UTLR,4,35.483870967741936,73
UTO,4,0.0,73
UTT,6,35.483870967741936,73
UTVR,0,0.0,0
UTZL,3,40.67741935483871,73
VB,58,34.41935483870968,158
VD,95,0.0,348
VDL,179,0.0,308
VDM,221,0.0,408
VEM,79,0.0,350
VG,51,0.0,197
VH,59,0.0,181
VHP,128,0.0,337
VK,188,0.0,308
VL,131,0.0,197
VLB,108,0.0,161
VNDC,34,36.96774193548387,78
VNDW,33,36.96774193548387,78
VP,63,0.0,356
VRY,115,0.0,162
VS,187,0.0,305
VSS,186,0.0,278
VST,56,0.0,266
VSV,100,0.0,392
VTN,8,35.483870967741936,78
VZ,125,0.0,449
WAD,41,0.0,158
WADN,42,0.0,158
WADT,40,0.0,158
WC,81,0.0,221
WD,17,35.483870967741936,73
WDN,114,0.0,355
WF,49,0.0,98
WFM,218,0.0,410
WH,97,0.0,389
WK,221,0.0,333
WL,82,0.0,375
WM,56,3.3548387096774195,355
WP,34,0.0,85
WR,248,0.0,419
WS,226,0.0,410
WSM,210,0.0,396
WT,107,0.0,240
WTV,62,0.0,357
WV,143,0.0,327
WW,121,0.0,411
WWW,122,0.0,411
WZ,79,0.0,326
YPB,54,34.41935483870968,76
ZA,59,0.0,127
ZB,213,0.0,404
ZBM,34,36.935483870967744,124
ZD,50,3.3548387096774195,352
ZDK,53,0.0,355
ZH,206,0.0,395
ZL,88,0.0,313
ZLSH,93,0.0,327
ZLW,89,0.0,273
ZP,83,0.0,348
ZTM,49,26.451612903225808,73
ZTMO,48,34.41935483870968,158
ZV,71,0.0,355
ZVB,97,0.0,278
ZVT,67,0.0,368
ZWD,75,0.0,333
ZZS,53,3.3548387096774195,355
